#User	Dir	Cellname	Size	Nets	Transistors	Runtime	Memory	RequestedMemory
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	28	597.359	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem_abstract/sigem/sigem	st_r_an_l3d_ref	93.837	796	8933	27	597.367	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.891	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.891	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem_abstract/sigem/sigem	st_r_an_l3d_ref	93.837	796	8933	27	597.371	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	27	597.367	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.883	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	26	597.363	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	63.242	796	8909	36	518.430	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.891	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	26	597.367	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	26	597.363	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.891	NA
